"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\SocketClient.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 2
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\project.assets.json", "JSON", 0, 0, 2385, 0, 0, 0, 2385
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\project.packagespec.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\ChatClient.DataBase.csproj", "XML", 0, 15, 0, 0, 0, 5, 20
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\ChatClientDbContext.cs", "C#", 23, 0, 0, 0, 0, 5, 28
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\DataBaseExtensions.cs", "C#", 20, 0, 0, 0, 3, 4, 27
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\DataToDtoProfile.cs", "C#", 16, 0, 0, 0, 0, 3, 19
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\Data\ChatPrivate.cs", "C#", 25, 0, 0, 0, 0, 6, 31
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\Data\FriendReceived.cs", "C#", 19, 0, 0, 0, 0, 5, 24
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\Data\FriendRelation.cs", "C#", 21, 0, 0, 0, 0, 5, 26
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\Data\FriendRequest.cs", "C#", 29, 0, 0, 0, 0, 8, 37
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\Data\LoginHistory.cs", "C#", 12, 0, 0, 0, 0, 4, 16
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\Data\User.cs", "C#", 27, 0, 0, 0, 0, 11, 38
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\Repository\ChatPrivateRepository.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\Repository\FriendReceivedRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\Repository\FriendRelationRepository.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\Repository\FriendRequestRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\Repository\LoginHistoryRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\Repository\UserRepository.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\UnitOfWork\Collections\IEnumerablePagedListExtensions.cs", "C#", 8, 0, 0, 0, 24, 3, 35
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\UnitOfWork\Collections\IPagedList.cs", "C#", 14, 0, 0, 0, 32, 3, 49
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\UnitOfWork\Collections\IQueryablePageListExtensions.cs", "C#", 27, 0, 0, 0, 12, 5, 44
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\UnitOfWork\Collections\PagedList.cs", "C#", 92, 0, 0, 0, 113, 24, 229
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\UnitOfWork\IRepository.cs", "C#", 122, 0, 0, 0, 326, 47, 495
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\UnitOfWork\IRepositoryFactory.cs", "C#", 7, 0, 0, 0, 19, 3, 29
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\UnitOfWork\IUnitOfWork.cs", "C#", 14, 0, 0, 0, 49, 8, 71
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\UnitOfWork\IUnitOfWorkOfT.cs", "C#", 11, 0, 0, 0, 14, 4, 29
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\UnitOfWork\Repository.cs", "C#", 607, 0, 0, 0, 317, 116, 1040
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\UnitOfWork\UnitOfWork.cs", "C#", 121, 0, 0, 0, 66, 27, 214
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.DataBase\UnitOfWork\UnitOfWorkServiceCollectionExtensions.cs", "C#", 24, 0, 0, 0, 4, 5, 33
